|?name|?status|?doi|?date|?thumbnail|
|Phrynobatrachus phyllophilus|NT|http://dx.doi.org/10.2307/1565925|2002||
|Litoria jungguy|NT|http://dx.doi.org/10.1071/ZO02069|2004|![image](http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Litoria_jungguy.jpg/200px-Litoria_jungguy.jpg)|
|Spicospina flammocaerulea|VU|http://dx.doi.org/10.2307/1447757|1997-05-13Z|![image](http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Spicospina_distribution.png/200px-Spicospina_distribution.png)|
|Philautus ingeri|VU|http://dx.doi.org/10.1163/156853887X00036|1987-01-01Z||
|Phrynobatrachus uzungwensis|VU|http://dx.doi.org/10.1163/156853883X00030|1983-01-01Z||
|Boophis sambirano|VU|http://dx.doi.org/10.1080/21564574.2005.9635520|2005||
|Oreolalax multipunctatus|VU|http://dx.doi.org/10.2307/1564828|1993||
|Telmatobufo australis|VU|http://dx.doi.org/10.2307/1563086|1972-03-31Z||
|Stefania coxi|VU|http://dx.doi.org/10.1655/0018-0831(2002)058[0327:EDOSAH]2.0.CO;2|2002||
|Gastrotheca dendronastes|VU|http://dx.doi.org/10.2307/1445088|1983-12-14Z||
|Eleutherodactylus guantanamera|VU|http://dx.doi.org/10.2307/1466962|1992||
|Cycloramphus acangatan|VU|http://dx.doi.org/10.1655/02-78|2003||
|Hyperolius cystocandicans|VU|http://dx.doi.org/10.2307/1443911|1977-05-25Z||
|Ansonia torrentis|VU|http://dx.doi.org/10.1163/156853883X00021|1983-01-01Z||
|Leiopelma pakeka|VU|http://dx.doi.org/10.1080/03014223.1998.9517554|1998|![image](http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Leiopelma_pakeka01.jpg/200px-Leiopelma_pakeka01.jpg)|
|Rana okaloosae|VU|http://dx.doi.org/10.2307/1444847|1985-05-03Z|
